,movie_names,ratings,voting_counts,duration_minutes,genre
343,Making Life Sing in Pursuit of Utu: The Micere Githae Mugo Story,6.94281045751634,0,155,biography
344,Hancsovszky,7.8,21,0,biography
345,Burkitt,6.94281045751634,0,73,biography
346,Gulag Eros of the Russian Mind,6.94281045751634,0,56,biography
347,Luis Terror Días,6.94281045751634,0,92,biography
348,Nebesko,5.1,10,73,biography
349,Fly by Night,8.0,16,0,biography
350,"Love, Blood, & Aztec Demons: The Lost Films of Juan F. Moctezuma II",6.94281045751634,0,94,biography
351,The Ballad of John and Yoko,8.5,17,101,biography
352,Colonel Xanthi,6.94281045751634,0,92,biography
353,9 sekund,4.6,65,91,biography
354,"Jacques Demy, le rose et le noir",7.0,14,88,biography
355,Nollbudget,8.3,11,72,biography
356,RADA,6.94281045751634,0,73,biography
357,¡Qué suerte hemos tenido!,7.5,16,62,biography
358,Comrade Yuri,6.94281045751634,0,92,biography
359,Bad Case of the Country Blues: The Linda Martell Story,6.94281045751634,0,89,biography
360,Tejaswini (Odia),6.94281045751634,0,95,biography
361,Lulu in Turin,8.5,6,76,biography
362,MAGA 1909,6.94281045751634,0,61,biography
363,Looking for Simone,7.3,16,93,biography
364,Veljko od mora,7.2,16,53,biography
365,Senza volto - Storia di Fabrizio Maiello,6.94281045751634,0,99,biography
366,La couleur dans les mains,6.94281045751634,0,86,biography
367,Between Time and Space: E.S.T.,6.94281045751634,0,120,biography
368,Golpe a Golpe (Blow by Blow),8.1,23,90,biography
369,Tapes of Revolution,9.4,6,75,biography
370,DCLXVI,6.94281045751634,0,200,biography
371,I Am Kevin Harvick,9.1,17,0,biography
372,O Visconde Indomável,6.94281045751634,0,92,biography
373,The Israelites,6.94281045751634,0,92,biography
374,Freak Out: The Joel M. Reed Story,6.94281045751634,0,70,biography
375,I am the girl 2 and my black belt,6.94281045751634,0,122,biography
376,I am the girl 3 me and my girlfriend,6.94281045751634,0,92,biography
377,La verità è nuda,6.94281045751634,0,92,biography
378,Entre Dois Rios e Outras Noites,6.94281045751634,0,50,biography
379,O Voo do Crocodilo - O Timor de Ruy Cinatti,6.94281045751634,0,71,biography
380,Run It Back: A Home Brew Story,6.94281045751634,0,68,biography
