,movie_names,ratings,voting_counts,duration_minutes,genre
298,Anytime,8.9,25,62,adventure
299,"Silex and the City, le film",5.0,52,77,adventure
300,Nanoshark,5.3,21,0,adventure
301,Cazatesoros,6.4,29,106,adventure
302,Baba Yaga spasaet Novyy god,4.4,122,99,adventure
303,Six Nine Five (695),7.0,706,137,adventure
304,Tipppsy,8.1,33,115,adventure
305,Shadows of Betrayal: Chronicles of Ian Blair,7.5,14,65,adventure
306,Håkan Bråkan 2,5.3,142,92,adventure
307,Turma da Mônica Jovem: Reflexos do Medo,2.8,259,88,adventure
308,Life with Quincy 3,6.069212962962963,0,73,adventure
309,Daye: Seret ahl el Daye,7.9,18,104,adventure
310,Poklad,4.6,44,100,adventure
311,Colour Palette,9.4,52,87,adventure
312,Captain Avispa,5.7,180,96,adventure
313,Nature Cat's Nature Movie Special Extraordinaire,7.3,19,53,adventure
314,Satu - Year of the Rabbit,9.1,58,93,adventure
315,Orango,7.3,75,94,adventure
316,Dreams,6.9,9,106,adventure
317,Family Vacation,6.6,6,0,adventure
318,Gepack,6.6,368,97,adventure
319,The Forest,6.3,49,77,adventure
320,Chernyy zamok,4.9,56,115,adventure
321,Rocky and Bullwinkle,9.2,15,100,adventure
322,Bar MoskvaChiki,5.1,106,91,adventure
323,Return,6.069212962962963,0,90,adventure
324,Pui Pui Molcar the Movie: Molmax,7.0,9,69,adventure
325,Tri kota. Zimnie kanikuly,6.6,35,65,adventure
326,Benjamin Bat,7.8,33,75,adventure
327,Wilhelm Gustloff,8.7,9,110,adventure
328,Lion King: A Tale of Mufasa,6.069212962962963,0,90,adventure
329,Fights Break Sphere 3,5.0,11,81,adventure
330,Gladiator II: The Art and Making of the Ridley Scott Film,6.069212962962963,0,90,adventure
331,Road to Dreamland,6.069212962962963,0,90,adventure
332,Yaren Leylek,5.6,33,95,adventure
333,Shanghai Story,8.2,64,71,adventure
334,Troy the Bharat Putra,5.5,33,134,adventure
335,Tri bogatyrya. Ni dnya bez podviga,5.7,71,61,adventure
336,Il cammino: Viaggio in Calabria,6.069212962962963,0,58,adventure
337,Wonderland,6.8,13,120,adventure
