,movie_names,ratings,voting_counts,duration_minutes,genre
336,Ognivo,5.5,237,105,adventure
337,Penelope & Everly's Holiday Adventure,6.0793103448275865,0,90,adventure
338,The Forest,6.3,49,77,adventure
339,Bratya,2.8,131,103,adventure
340,Old Wild Mob,6.0793103448275865,0,90,adventure
341,Tay 2: Ebabil Takimi,4.9,45,78,adventure
342,Dogman Territory: Werewolves in the Land Between the Lakes,5.6,35,0,adventure
343,Road to Dreamland,6.0793103448275865,0,90,adventure
344,Kral Sakir: Devler Uyandi,5.3,69,0,adventure
345,Nothing Unusual,8.8,13,92,adventure
346,Xin Longmen kezhan,2.9,7,73,adventure
347,BAM!,7.0,30,80,adventure
348,Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8,36,71,adventure
349,Militant Monster 2024,8.7,29,0,adventure
350,Get Close 2,5.7,47,0,adventure
351,Tracing the Divide,8.8,173,84,adventure
352,Bar MoskvaChiki,5.2,105,91,adventure
353,Dragon Gate Inn,6.0793103448275865,0,90,adventure
354,Adam i Eva,5.1,95,95,adventure
355,Cacophony the Animated Movie,6.0793103448275865,0,81,adventure
356,Dreams,6.9,9,106,adventure
357,Anytime,8.9,25,62,adventure
358,Lo carga el diablo,7.6,29,103,adventure
359,Manyunya. Priklyucheniya v derevne,5.9,120,84,adventure
360,Turma da Mônica Jovem: Reflexos do Medo,2.8,259,88,adventure
361,Tur s Ivanushkami,5.3,161,111,adventure
362,The Cold Father,6.8,19,0,adventure
363,Moy dikiy drug,6.5,64,100,adventure
364,Operation Wakaliga: Fate and Blood,6.7,12,66,adventure
365,This Land of Mine,4.5,38,90,adventure
366,Dead Dead Demon's Dededede Destruction Zenpen,7.1,142,120,adventure
367,Heavens: The Boy and His Robot,6.3,22,98,adventure
368,Tri bogatyrya. Ni dnya bez podviga,5.8,74,61,adventure
369,The Sasqualogist,6.0793103448275865,0,89,adventure
370,Elephant Steps,6.9,41,0,adventure
371,The Umbrella Fairy,5.7,61,95,adventure
372,Manyunya. Priklyucheniya v Moskve,5.8,111,87,adventure
373,Aliens Uncovered: Buried Cities & Lost Tribes,8.4,12,0,adventure
374,Mortadella,8.4,8,90,adventure
375,Jaunt,8.7,8,78,adventure
376,Return,6.0793103448275865,0,90,adventure
377,Colour Palette,9.4,52,87,adventure
378,Xiang Xi Gui Shi,6.0793103448275865,0,72,adventure
379,The Puffins & the Magic Portal,7.8,34,0,adventure
380,Six Nine Five (695),7.0,707,137,adventure
381,Petualangan Anak Penangkap Hantu,5.9,27,99,adventure
382,Oyunda Kal: Eglence Arenasi,2.5,38,92,adventure
383,Chernyy zamok,5.0,57,115,adventure
384,Two Breaths,7.9,35,18,adventure
385,Advent,7.5,6,119,adventure
386,Dans l'ombre de Marlow,6.0793103448275865,0,80,adventure
387,Minecraft But I Survive Again in Parkour Civilization,8.8,31,0,adventure
388,Vikaasaparva,8.7,542,134,adventure
389,Spider-Man: Blue,5.8,12,0,adventure
390,The Farm,6.0793103448275865,0,104,adventure
391,The Last Five Days: The Freak Building,3.7,60,61,adventure
392,Piraty galaktiki Barrakuda,4.6,86,92,adventure
393,Mama,8.5,7,100,adventure
394,The Apples Gang: The Movie by Wright,6.0793103448275865,0,90,adventure
395,Baba Yaga spasaet Novyy god,4.4,121,99,adventure
396,Cândido,6.3,63,99,adventure
397,Famous Patrick (A Super SpongeBob Fan Movie),8.7,27,53,adventure
398,Wilhelm Gustloff,8.7,9,110,adventure
399,Suchana,8.7,511,90,adventure
400,Mera Number Beess,6.0793103448275865,0,109,adventure
401,Spooky Society,6.0793103448275865,0,90,adventure
402,Ivan Tsarevich i Seryy Volk 6,5.7,97,85,adventure
403,Altered,6.0793103448275865,0,90,adventure
404,Big Water Theory,6.0793103448275865,0,83,adventure
405,23 Horas,7.0,21,0,adventure
406,The Ballad of Straw Hat Sam,9.2,11,45,adventure
407,The Artifact,6.0793103448275865,0,108,adventure
408,Frankenstein Theater: The Magic Sword,4.1,24,82,adventure
409,Whites Only: Ade's Extremist Adventure,6.8,28,65,adventure
410,Dracu Ra,5.6,41,106,adventure
411,The Lost Colony,6.0793103448275865,0,90,adventure
412,Antarctic Voyage,6.8,6,48,adventure
413,Mukhadrakon,5.3,18,109,adventure
414,Vasilisa i khraniteli vremeni,3.2,69,98,adventure
415,"Fallen Leaves, Broken Lighters",7.7,8,96,adventure
416,La bruja del bosque oscuro,6.0793103448275865,0,92,adventure
417,"Bernadotte, Louise & Napoleon",6.0793103448275865,0,74,adventure
418,A New Dawn,6.0793103448275865,0,60,adventure
419,Superman: Jubilation,6.0793103448275865,0,176,adventure
420,Toy Kids: The Movie,6.0793103448275865,0,65,adventure
421,Let's Go! Anpanman: Baikinman and Lulun,6.5,7,64,adventure
422,The Bigfoot Prophecy,4.8,23,117,adventure
423,Historia de pastores,5.5,34,80,adventure
424,Boom!,8.3,11,90,adventure
425,Gladiator II: The Art and Making of the Ridley Scott Film,6.0793103448275865,0,90,adventure
426,Aruanda - Sentido da Vida,6.0793103448275865,0,90,adventure
427,Wild Boys,6.0793103448275865,0,119,adventure
428,Abar Arownne Din Ratri,8.0,8,111,adventure
429,Príncipe Lu e a Lenda do Dragão,4.1,29,90,adventure
430,Sathur: Part1,6.0793103448275865,0,90,adventure
431,Turbozavry. God drakona,9.2,43,48,adventure
432,Lakeside's Mission: Impossible,6.0793103448275865,0,90,adventure
433,Purgatorio,6.0793103448275865,0,59,adventure
